Text,Label
@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone,0
Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to …,0
RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate,0
"The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi…",0
Trump/Carson ticket would win in a landslide... @realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 …,0
"Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate",0
"After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism …",0
Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate,0
"Meanwhile, in the White House... #GOPDebate",0
PLEASE RT. #KKKorGOP #GOPDebate,0
"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate",0
How the #GOPDebate handled #BlackLivesMatter,0
“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks,1
"Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers",0
".@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil…",1
"Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate…",0
@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate,0
"I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",0
"To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…",0
The #GOPDebate response to #BlackLivesMatter was pathetic.,0
.@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht…,0
"Dear GOP, If you want to stop abortions... #GOPDebate",0
"Join ISIS and sign your death warrant, Signed @tedcruz next President of the US󾓦 #GOPDebate #WakeUpAmerica #CruzCrew htt…",1
#GOPDebate closing statements:,0
"Status 👉 Single I broke up with @FoxNews last night! Goodbye @megynkelly, @BretBaier &amp; Chris Wallace. #GOPDebate",0
"Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump. After, only 3 saw him positively.",1
Just made my first donation to @CarlyFiorina. So impressed by her #GOPDebate performance. #Fiorina,1
If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate,0
Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people. And they vote. That should scare eve…,1
"Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate",0
"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race",0
"Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…",0
"RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake",0
@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.,1
"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",0
"1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ.",1
"#DonaldTrump said he’s not “politically correct.” Which, of course, is Trumpspeak for “Let’s face it, I’m huge asshole.” #…",0
A message to the #GOPDebate candidates:,0
This is the worst episode of The Apprentice that I've ever seen. #GOPDebate,0
"""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …",0
Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.,0
Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate,1
"If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…",1
They’re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP,0
Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm,0
Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer,0
"Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate",1
The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate…,0
Credit for this joke goes to someone else but it is funny! #GOPDebate,1
Simply incredible. Last night's #GOPDebate doubled the previous record for most-watched primary debate i…,1
"This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover""",0
Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate,0
What people saw in person vs what we saw on tv. #GOPDebate,0
Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry #GOPDebate ht…,0
"None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai…",0
Had a great time watching the #GOPDebate last night,1
"#GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him …",0
This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate,0
"""@FoxNews web stream and mobile app fail during #GOPDebate” … Why am I not surprised?",0
"John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate",1
Please help the Maryknoll Sisters replace windows in their convent #Catholic #gofundme #trcot #GOPDebate,1
Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate,0
Ugh will these guys ever shut up about how much they respect women? #GOPDebate,0
"What did the #GOPDebate teach us about a future President Trump? America probably won’t be safe, except if we’re attacked …",0
"This is going to be a long, tiring election season. ""shockingly ill-informed"" candidates at #GOPDebate",0
Scott Walker can't even carry his own state. #GOPDebate,0
"Black people, if you need anymore indication why Republicans hate us. Peep this. #GOPDebate",0
"Sure, God told me I should run, and the Tooth Fairy agreed and all the Teletubbies voted yes, so here I am. #GOPDebate",0
Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate,0
"Caller on the Rush Limbaugh show:""I have lost all respect for Fox News."" #FoxNews #GOPDebate",0
"""@stinger_inc: @realDonaldTrump @megynkelly's behaviour at the #GOPDebate was astonishingly biased.""",0
"Republicans Debate Economics: Rubio Wins, Bush Falters, Huckabee Exaggerates #GOPdebate #knowmorenotless @GPNAPLang",1
Huh. Half of Clinton's charity went to...the Clintons! #copolitics #Hillary2016 #StopHillary #UniteB…,0
"#GOPDebate The order was to ""take out Trump"", but I wonder if FOX News was the one who took the ""order"" seriously. @HeidiL_RN",0
"We all owe @realDonaldTrump a huge thank you 4 exposing to the world👉@megynkelly, Chris Wallace, &amp; @FrankLuntz are true Rhinos!…",0
Scott Walker Lies: Says WI Budget Has $535M Surplus (Actually Has $1.76B Deficit) #GOPDebate,0
You're right Last I heard @SenSanders was that only women could give birth to s child. Has that changed? #GOPDebate,1
"Fox News #GOPDebate interviewer to candidates: ""What's your take on these GOP talking points I'm feeding you?""",0
But the murder of black ppl is just fine- just not unborn black babies? #GOPLogic #GOPDebate,0
Chris Christie is really standing out at the #GOPdebate,1
"Hey .@realDonaldTrump You know who didn't whine about ""unfair"" questions? @CarlyFiorina Grow a set why don't ya'. #GOPDe…",1
You can't be pro-life AND have watched that 2 hour abortion last night. #GOPDebate #forkedtongue #IseeOrangePeople,0
".@MegynKelly, You failed the American people tonight. You tried to make history, by destroying @realDonaldTrump. #KellyFai…",0
"Btw... when you mix politics and religion, you get politics. #GOPDebate",0
Marco nailed it on abortion. We must protect life. #GOPDebate,1
@megynkelly @BretBaier @foxnews WTF was up with Chris Wallace attacking #Trump2016 on bankruptcy then giving Rubio a softball? #GOPDebate,0
They obviously didn't get the memo about #SeersuckerThursday. #GOPDebate,0
"Honestly, Donald Trump you were ALL types of petty at last night's #GOPDebate 😒 --&gt;",0
All Republican dopefuls who say they'll take US back to 2009 on 'Day One' will never see one day in White House! #GOPDebate…,0
Trump gloating abt buying GOP+Dem pols &amp;them doing his bidding IS my 2000s Billionaire caricature MyaCash #GOPDebate,0
Go Carly📢 Go Carly📢 Go Carly📢 @CarlyFiorina #Carly2016 #GOPDebate @FlyoverCulture @LeahR77 @steph93065 @MaydnUSA,1
Listening to the #GOPDebate like,0
Best moment of the #GOPDebate last night: Rand telling Christie to go get another hug from Obama.,1
If you missed either #GOPDebate all you need to know is there's no $ for struggling Americans and unlimited $ for war.,0
.@JebBush 'We are on the verge of the greatest time to be alive in this world but Washington is holding us back' #mysa #txlege …,0
#Trump Wins Drudge Debate Poll ➡️ By A Landslide #TedCruz #2 #GOPDebate #PJNET🇺🇸 ☑️,0
"@GovernorPerry fights back against ""what will you do abt immigration"" Q. Says border is porous, and that must be fixed first. …",1
Summary is the #GOPDebate: Status quo shit show,0
Debbie Blocks Tweeter Who Questioned Dem Debate Schedule #GOPDebate @DWStweets,0
"Hey look, it’s 10 men standing on a stage arguing why they should get to control women’s bodies and choices. #GOPDebate",0
Last night at the #GOPdebate all I saw was a bunch of Rich and Old despots with ZERO solutions to our nations problems #un…,0
If you think ANY of these people are qualified...unfollow me. #GOPDebate,0
Who's the real illegal alien- #GOPDebate Farrakhan on Immigration the Mexican Bor... via @YouTube,0
#GOPDebate The talking heads put on the debate now the talking heads are telling us how the debates went. Maybe we wasted our time watching,0
"#Trump is right about @megynkelly but really needs to study Matthew 7, verses 3-5. #GOPDebate",1
"""Where do you think women should sleep when they have The Curse? The shed? Or in an open field, not on your property?' …",0
"""I think God's a pretty fair guy"" -Ben Carson, neurosurgeon, on his belief modern day taxation should be based on an ancient book #GOPDebate",0
"The cheers from #GOPDebate audience afterTrump defiantly named @Rosie as the woman he called ""Fat Pig"" were the voices …",0
"#BlackLives don't matter, apparently, to Republican candidates for president / or to @FoxNews #uniteblue #GOPDebate",0
"Overall the main thing we learned from the #GOPDebate is that only straight, white, men matter.",0
"@USFree4life I thought @seanhannity had the best post #GOPDebate interviews of the night, gave them all a chance 2straighten their position.",1
"Hey @RealDonaldTrump, if you're still looking to chip in, check out #GOPDebate",0
"@megynkelly @BretBaier #ChrisWallace, #America is criticizing UR PERFORMANCES during #GOPDebate b/c U did a REALLY bad job as ""moderators.""",0
"“@GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate rigged",0
I wish we could teach teenage girls to love themselves as much as Donald Trump loves himself. #GOPdebate,0
Conservatives are a people without a Network! #GOPDebate @FoxNews,0
How come there's no talk about climate change? Has anyone here even seen California right now? #GOPDebate #DebateWithBernie,0
"Last night they could have have raised their hands. I'm a spoiled billionaire, I'm an oligarch, I'm a racist, I'm a religi…",0
"#GOPDebate 2016 #teamdrbencarson @RealBenCarson WOW! Brilliant, Cool, Calm &amp; Collected.#empowering",1
"Under no circumstances should 10 men dictate abortion rights to women. It's the 21st Century, we are better than that.…",0
#GOPDebate Winner! Drudge 50% (187K) @realDonaldTrump TIME 46% (25K) @realDonaldTrump FOXSD 49% @realDonaldTrump,1
".@megynkelly In 2012 you chided @CandyCrowley for ""going from objective moderator to active participant"" #GOPDebate",0
#GOPDebate @FoxNews @realDonaldTrump in1996 you called @billclinton a two timing slut. Do you stand by that statement!?,0
☑ never watch #KellyFile again 1. #GOPDebate questions 2. Pandering to @DWStweets 3. Making it about ratings not🇺🇸,0
IMHO #GOPDebate winners #MarcoRubio #Kasich #DonaldTrump Losers #ScottWalker #RandPaul #BenCarson All others were completely forgettable,1
SMALLER GOVT: Ohio government payroll is smaller than it's been in 3 decades. #GOPDebate,1
"""Challenging the teacher's unions and beating them is the way to go."" – Jeb #GOPDebate",0
@theblaze The REAL war on women!@realDonaldTrump @megynkelly @rushlimbaugh #GOPDebate @AnnCoulter,0
This Trump vs. Fox News conflict is quite the conundrum. It’s like the personification of Greed vs. Hate. Who do I root…,0
I know how extraordinary this nation is. #GOPDebate,1
"Meanwhile, in the White House... #GOPDebate",0
"#rubio still my preference but i can see point of his critics over opportunism, inconsistency #gopdebate",1
Did @realDonaldTrump ever tell @megynkelly to go wait in the car? Her bad attitude suggests it. #WarOnWomen #GOPDebate,1
"He was on fire! .@GovernorPerry's ""On Fire"" Debate Performance: #GOPDebate #Perry2016",1
"""@FrankLuntz: I'm getting a lot of @MegynKelly hatemail tonight. 😆 #GOPDebate"" She is totally overrated and angry. She…",0
"This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" @robinmarty",0
#JonVoyage was half as long as the #GOPDebate but twice as intelligible.,0
Not a single question in last night's #GOPDebate about the most urgent issue of our time: climate change.,0
"#GOPDebate What was up with #FoxNews &amp; their ""gotcha"" questions? They seemed designed to elicit typical political ""spin"" responses. #tlot",0
After the #GOPDebate all of the promises being made by startups at this tech conference seem quite reasonable.,1
@KnucklDraginSam @GOP @realDonaldTrump @yobynnad1127 AMEN! #Trump2016 #WakeUpAmerica #GOPDebate #tcot #stoprush,0
Me watching the Donald Trump bandwagon pass. #tlot #tcot #GOPDebate,0
"Before the #GOPDebate began, didn't the moderators say that 8 million ppl were discussing ""racial issues""? What happened to thos…",0
"There's nothing like listening to ten dudes who will never need an abortion, talk about whether I should have a right …",0
FOX silenced by Koch billions too? Not a single question at last night's #GOPDebate to #climatechange deniers about Mond…,0
"These republicans are rich, they don't care about the poverty of America &amp; they definitely don't care bout the poverty of bla…",0
Catching up on my #GOPDebate @LindseyGrahamSC what a childish &amp; cheap move to call out @billclinton &amp; @HillaryClinton on a 17 year old story,0
All Ted Cruz does is attack other Republicans. #GOPDebate,0
"ICYMI: Not just no, but ""hell no"" to the #IranDeal! #GOPDebate #Perry2016 #tcot",0
"If Donald Trump wins the election, then we'll know we're on the Biff-stole-the-almanac timeline. #GOPDebate",0
Chris Christie just said you have to work two more years before retiring.And that you'll get tens of thousands less you paid…,0
"John Kasich is ready to lead. Join the team, Claire!: #GOPDebate",1
The biggest losers in the debate were the Fox moderators who attacked instead of moderating #GOPDebate,0
"Trump has yet to give a single, evidence-based answer to a direct question about policy. That should frighten you. #GOPDeb…",0
I honestly think sometimes these guys forgot they came from wombs too. #KKKorGOP #GOPDebate,0
Women who shame other women for having abortions deserve to be shamed for having no soul or self respect. #PlannedParen…,0
"Donald Trump’s closing statement is every dinner conversation had at The Villages, ever. #GOPDebate",0
"""When the rich wage war it's the poor who die."" Jean-Paul Sartre This is now GOP foreign policy. #GOPDebate",0
"At the #GOPDebate, we saw the candidates completely miss the mark on race &amp; #BlackLivesMatter",0
S/O to the GOP for being proud of defeating teachers union even though they just wanted higher wages #GOPDebate,0
@ChuckNellis @FoxNews You got that right! #GOPDebate,0
"Trump just said the U.S. is stupid, so let's vote him President. WTF people. #GOPDebate",0
So excited for @johnkasich #GOPDebate #Kasich4Us #Republicandebate #kasich2016 been waiting for 20 years!!,1
Hey look it's my feelings about Donald Trump summed up in one gif #GOPDebate,0
Marco Rubio Briefly Backed Immigration Reform Then Privately Berated DREAMers #GOPDebate,0
“I french-kissed Jesus Christ!” - Every candidate #GOPDebate,0
#GOPDebate #Closingstatements @GovMikeHuckabee just be honest. u were defs talking about @realDonaldTrump coz he's stealing ur schtick,0
"When cnn, msnbc ,and the new York times praise fox moderators then you know the moderators fucked up. #GOPDebate",0
Trump is a lunatic. #GOPDebate,0
"Cruz has class &amp; truth, that gets my vote! #GOPDebate",1
"AssClown: I'm the only reason anyone is even talking about illegal immigration. Keep digging, Donald! #GOPDebate",0
Tom Hanks. Finally. Somebody who makes some sense. #GOPDebate #DebateWithBernie,1
Olivia Pope would not vote for any of these guys #GOPDebate,0
All #GOP candidates want to reduce taxes while #Huckabee wants to legalize prostitution and drugs so we can tax it. #GOPDebate,0
"Hi Fox panel, can you just ask Donald every single question? Hand him a shovel while you're at it so he can keep digging. #…",0
#GOPDebate #Trump is Breaking Records! So what he's not a polished Politician. Makes me love him even more.,1
Oh. It was just a movie trailer. #GOPDebate #DebateWithBernie,0
So Sally Kohn &amp; Debbie Wasserman Schultz both praising Megyn Kelly tonight. That should tell you everything you need …,0
Why are all the Trump accessory women wearing the same shoes?! #GOPDebate,0
And Donald Trump is an absolute nut! So entertaining LOL #GOPDebate,0
"""@thehill: Top GOP pundits pick their #GOPdebate winners: Winners...Fox News Losers...USA",0
Candidates went after @HillaryClinton 32 times in the #GOPdebate-but remained silent about the issues that affect us.,0
.@MegynKelly trying 2show up @realDonaldTrump w @FoxNews. Trying 2take him down. Trying 2destroy him. Not happening. #Kelly…,0
Most-Tweeted #GOPDebate moment for @RealBenCarson: saying he wouldn't publicize to the world his answer on waterboarding.,0
I give him a e for his big ego. #GOPDebate A's are earned for excellence. Rhymes with rump.,0
Passion of the #GOPDebate #ReligiousUpaMovie,1
"""@marcorubio got the best reviews, and deserved them."" Read more of our #NREditorial recap of the #GOPDebate ---&gt;",1
Brutal question to the AssClown from Megan Kelly. The lesson here: be careful what you tweet on Twitter! #GOPDebate,1
Trump changed his mind on supporting PARTIAL BIRTH ABORTION because a friend changed their mind on aborting &amp; had a great kid. #GOPDebate,0
Best closing statement: @RealBenCarson #GOPDebate,1
We have to stop worrying about being loved &amp; start worrying about being respected. #TellingItLikeItIs #GOPDebate,1
"Trump sycophants want to know what @megynkelly's ""hidden agenda"" was last night. Answer is simple: it's called a vagin…",0
Donald Trump is a really nasty piece of work. Hope he disappears quickly. #GOPDebate,0
FETUSES ARE NOT UNBORN BABIES THEY ARE CLUSTERS OF CELLS STOP SHAMING PEOPLE WHO WANT/HAVE HAD ABORTIONS #GOPDebate,0
These were far and away the best tweets of last night #DebateWithBernie #GOPDebate,1
"Despite what Huckabee says, I always make sure my prostitute AND her pimp pay FICA and pension. #GOPDebate",0
@FoxNews did great by challenging the candidates in #GOPDebate. If these candidates can't handle a tough question they could never b #POTUS,1
I’d say it was the opposite. Megan Kelly acted like some SJW on Tumblr whining about feminism. Very sad. #GOPDebate,0
Rightly so Frank. Rightly so. #GOPDebate,1
the number of times that ronald reagan is mentioned in the #GOPDebate is TOO DAMN HIGH,0
"If Trump is against ""p.c. culture,"" I'm suddenly 100% for it. Not even kidding. What a howling shit-cave of a human. #GOP…",0
#BenCarson great close! He operates on brains so he doesn't worry about skin color. #GOPDebate,1
"Women that would be offended by Trumps ""Misogyny"" most certainly don't vote Republican. Find a new fake issue Faux News. #…",0
Keep religion out of politics! #GOPDebate,0
"Boy, I bet the mood in the clown car is going to be TENSE when these jerks leave the #GOPDebate.",0
Dr. Ben Carson did a great job tonight! Loved your closing statement! @RealBenCarson #GOPDebate,1
“@foxnewspolitics: Behind the Fox debate: How the anchors hashed out the questions #GOPDebate They Failed,0
Did anyone get trashed playing @RollingStone's #GOPDebate drinking game? #drinkinggame,0
If #DonaldTrump donates to U..He can call in a favor years later?? Sounds like #TheGodfather NOT #POTUS Thats legal? #GOPDebate #GOPClownCar,0
Ugh to think there were actually people sitting on their couch last night saying YES YES THIS IS REASONABLE. #GOPDebate,0
"If politics can be even partially rational, Trump's campaign for the GOP nomination just ended. #GOPDebate",0
Scott Walker chooses killing mother rather than aborting unborn embryo. This is reason other countries give us that funny …,0
Can't #UniteBlue: Abortion is a talking point in the #GOPDebate since #PPSellsBabyParts,0
Closing statements reminisce about an America that no longer exists after Ted Kennedy’s 1965 Immigration and Nationality Act. #G…,0
Ted Cruz is going to personally take away your telescope and try you as a witch. #GOPDebate,0
@realDonaldTrump You killed it last night at the #GOPDebate glad to have some that cares for America #MakeAmericaGreatAgain,1
When the #GOPDebate is more exciting than anything else on tv in the past 10 years....,1
"Shiiiittt, it's tough to say who is making me more horny. #GOPDebate",1
"@bullriders1 @Olivianuzzi @daveweigel The #GOPDebate was better than I thought it'd be, though candidates finessed issues with sound bytes.",1
Yes Marco Rubio Actually Said The Iraq Invasion 'Was Not A Mistake' #GOPDebate,0
Marco Rubio Voted Against Unemployment Benefits Even Though Florida Needs Them Most #GOPDebate ht…,0
#JebBush was so thoughtful in #GOPdebate - #reThink911,1
"There will be a lot of jobs available if Bush serves 2 terms, because most Conservatives will have committed suicide. #GO…",0
"Huh. Watching @FoxNews debate #1 and so far, the moderators and the participants are better! #GOPDebate",1
Donald Trump insulted @megynkelly and ALL women and not one man on stage confronted him. None of them are worthy to be …,0
"@learjetter, I was waiting for @megynkelly to ask @realDonaldTrump, ""When did you stop beating your wife?"" #GOPDebate",0
About last night. Are you watching @OutnumberedFNC ? We got @ericbolling and all the good stuff from the #GOPDebate on …,0
EARTH TO @megynkelly THIS AINT ABOUT YOU! #GOPDebate #FoxDebate #MegynKelly #MegynKellyDebateQuestions,0
"#FFF: Highlights from this week include #NationalUnderwearDay, the #GOPDebate, and #JonVoyage. Officially. The. Worst. Week. Ever. #TGIF",0
"Of course, the AssClown won't pledge not to run as a third party candidate. #GOPDebate",0
"Paul Krugman sums up what happended last night: ""One of our two major parties has gone off the deep end"" #GOPDebate",0
Just remember no matter wins the #GOPDebate everyone who watched it loses #alcoholpoisoning,0
#Trump #Video It cost 4 times more than the $700M it would've if it were being managed by @realDonaldTrump #GOPDebate h…,0
@megynkelly you disgraced yourself last night... #GOPDebate,0
Prediction: in the final #GOPDebate Donald Trump will tear off his #MissionImpossible mask to reveal a smirking Jon Stewart.,0
"#Fallon to Jon #Stewart: ""Please Come Back, I Can’t Do It Alone"" #GOPDebate #Politics",1
Ted Cruz is angling himself to be a slightly less loony version of Donald Trump. #GOPDebate,0
Meet the new darling of the left 》 Megyn Gotcha Kelly. #GOPDebate @FoxNews #DonaldTrump #MegynKelly,0
That abortion question — disgusting. #GOPDebate,0
@nytimes and @CNN praised @FoxNews and they thought they did a good job #GOPDebate Not a good thing,0
#GOPDebate: a lesson for coming months: quality and not quantity in words &amp; time for tangible and believable propsals,0
"When CNN and the New York Times are praising the @FoxNews moderators, you know they did it completely wrong. #GOPDebate",0
".@megynkelly displayed ""utmost authority"" at @foxnews #GOPDebate, critic says.",1
"Not one candidate spoke up against Trump's mass-deportation plan, &amp; not one condemned his racist comments. Latinos won't forget…",0
Donald is my hero. #GOPDebate,1
The Kryptonian science council was more worried about climate change than these scary people. #GOPDebate,0
Withholding my very valuable presidential endorsement until I hear about everyone's point of view on the 2nd amendment #GOPDebate,0
"""Ronald Reagan never had an abortion with ISIS and WOMEN DON'T NEED THEM EITHER!"" - Basically everyone tonight #GOPDebate",0
@ChrisChristie won the #GOPDebate last night. Only candidate who answered questions directly and not afraid to take on tough issues.,1
".@FredBarnes, @weeklystandard: ""Mike Huckabee was the star of the Luntz focus group show. When he spoke, the feedback …",1
"Watching the primetime #GOPDebate this afternoon, I think @BenCarson2016 was the real winner, quiet but effective",1
#Jeb is giving me some serious Janet Reno tonight. #GOPDebate,0
#Boomers R #Smart They know how to use #Internet for #GOPDebate #Cosproject #jpnet,0
Re China: You deal with a playground bully by punching them in the face &amp; putting them on the ground b/c they only res…,0
Lots of Republicans in my Facebook and Twitter timelines are ticked at Fox News for running that hatchet job of a debate. #GOPdeba…,0
"I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",0
"Hats off to Ben Carson for using the term ""useful idiots"" re: Hillary Clinton and the secular progressive movement. #GOPD…",1
@megynkelly Your Fox team talked for 31 minutes of #GOPDebate while Walker talked for 5. Your obvious goal was to ambush everyone. Pathetic.,0
I actually agree with @AndreaTantaros on something. She said @realDonaldTrump didn't hurt himself in #GOPDebate and I concur.,1
Like Ben Carsons brain. Mike Huckabees heart. Marco Rubios soul. Chris Christies fight. John Kasichs hope. Add Carly Fi…,1
"The #GOPDebate was like a super crappy cage fight of blustering, bumbling, old wrinkled-up tuckus clinchers without the ca…",0
The military is not a social experiment. The purpose of the military is to kill people and break things. #ImWithHuck #…,0
@megynkelly #GOPDebate Kelly is no role model doesn't speak for me or my prof friends Rosie? Now a real woman @CarlyFiorina Kelly is a poser,0
donald trump... #whatajoke #GOPDebate,0
This feels like FOX News tried to be the cool parents that let their kids have a party &amp; now the house is on fire. #GOPDeba…,0
It's unconscionable that @FoxNews moderators asked ALL the candidates except Santorum foreign policy&amp; nat sec questions i…,0
YOU ARE NOT PRO LIFE. YOU ARE PRO CONTROL. YOU ARE PRO RELIGION. YOU ARE PRO YOU. THIS IS NEVER ABOUT THE MOTHER. #GOPDeba…,0
"Solid debate tips - take a gander, @GOP: #GOPDebate #teaparty #tcot #tlot #icon",0
Creating jobs is our greatest moral purpose because they strengthen our families &amp; communities. #GOPDebate,1
"@CarlyFiorina Magnificent at the first #GOPDebate. I support Ted Cruz as POTUS, but would support you as running mate or POT…",1
If you're a woman who supports R party please wake up and get informed. #GOPDebate,0
Kasich the clear standout among #GOPDebate cannon fodder. But his record contradicts statements on LGBT acceptance:,1
"The anti- @CarlyFiorina unit of the #Clinton Personal Destruction Force is now working 24/7, I'm sure. #GOPDebate",0
"""My mother worked..."" - Nobody #GOPDebate",0
So we have Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell f…,0
#GOPDebate REAL “AMERICAN IDOL”: ELECTIONS AS AUDITIONS: Whose Consent Counts &amp; How Decisions Are Made...,0
"Elections, Democracy, and political debates as entertainment. Not a particularly sterling quality of our federal republic. #GOPDebate",0
@ChrisChristie @RandPaul Americans fear NOT. People who live in fear are not free and have no liberty. Fear is unAmerican #GOPDebate,0
